"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"24";"168";"Sara Ehrenpohl";"Sand (3427446)";"F";"NOR";"Byåsen Skiskytterlag";"NC Fellesstart Senior, 10.01.2016";"K20-21";"45:37.3";"7:15.9";"2016-01-10T11:15:37.3000000";"";""
"25";"177";"Anne Katrine";"Tønset";"F";"NOR";"Røros IL";"NC Fellesstart Senior, 10.01.2016";"K20-21";"45:39.0";"7:17.6";"2016-01-10T11:15:39.0000000";"";""
"26";"172";"Ingvild";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K20-21";"46:15.1";"7:53.7";"2016-01-10T11:16:15.1000000";"";""
"27";"167";"Katja Sha Voje";"Bjørnstad";"F";"NOR";"Oslo Skiskytterlag / Team Statkraft Oslofjord";"NC Fellesstart Senior, 10.01.2016";"K20-21";"46:26.2";"8:04.8";"2016-01-10T11:16:26.2000000";"";""
"28";"184";"Christine Williksen";"Høiland";"F";"NOR";"Fossum IF / Team Statkraft Innlandet";"NC Fellesstart Senior, 10.01.2016";"K20-21";"46:34.7";"8:13.3";"2016-01-10T11:18:04.7000000";"";""
"29";"188";"Marianne";"Røstad";"F";"NOR";"Stiklestad IL / Steinkjer Videregående Skole";"NC Fellesstart Senior, 10.01.2016";"K20-21";"46:51.5";"8:30.1";"2016-01-10T11:18:21.5000000";"";""
"30";"178";"Marielle Holen";"Årevik";"F";"NOR";"Vik IL / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K20-21";"47:22.8";"9:01.4";"2016-01-10T11:17:22.8000000";"";""
"31";"181";"Eirin Sangesland";"Tveit";"F";"NOR";"Øvrebø IL / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K20-21";"47:33.1";"9:11.7";"2016-01-10T11:19:03.1000000";"";""
"32";"186";"Anette";"Heldal";"F";"NOR";"Bødalen IF / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K20-21";"47:59.5";"9:38.1";"2016-01-10T11:19:29.5000000";"";""
"33";"187";"Mari";"Bøygard";"F";"NOR";"Ål Skiskyttarlag";"NC Fellesstart Senior, 10.01.2016";"K20-21";"48:17.6";"9:56.2";"2016-01-10T11:19:47.6000000";"";""
"34";"190";"Norunn Kvistad";"Dengerud";"F";"NOR";"Steinkjer SK";"NC Fellesstart Senior, 10.01.2016";"K20-21";"48:33.3";"10:11.9";"2016-01-10T11:20:03.3000000";"";""
"35";"183";"Mathilde";"Hustoft";"F";"NOR";"Asker SK";"NC Fellesstart Senior, 10.01.2016";"K20-21";"49:16.9";"10:55.5";"2016-01-10T11:20:46.9000000";"";""
"1";"3";"Andreas Dahlø";"Wærnes";"M";"NOR";"Trondhjems Skiskyttere";"NC Fellesstart Senior, 10.01.2016";"M Senior";"46:15.3";"0:00.0";"2016-01-10T09:46:15.3000000";"";""
"2";"7";"Fredrik Mack";"Rørvik";"M";"NOR";"Målselvs Skiskyttere / Team Statkraft Innlandet";"NC Fellesstart Senior, 10.01.2016";"M Senior";"46:38.3";"0:23.0";"2016-01-10T09:46:38.3000000";"";""
"3";"8";"Martin";"Rui";"M";"NOR";"Froland IL / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"M Senior";"46:42.4";"0:27.1";"2016-01-10T09:46:42.4000000";"";""
"4";"11";"Pål Kristian Grue";"Tufte";"M";"NOR";"Geilo IL";"NC Fellesstart Senior, 10.01.2016";"M Senior";"46:46.8";"0:31.5";"2016-01-10T09:46:46.8000000";"";""
"5";"18";"Martin";"LINDLAND";"M";"NOR";"Bødalen IF / Team Bardøla";"NC Fellesstart Senior, 10.01.2016";"M Senior";"46:52.2";"0:36.9";"2016-01-10T09:46:52.2000000";"";""
"6";"12";"Kristian Andre";"AALERUD";"M";"NOR";"Bærums Skiklub / Team Holmenkollen";"NC Fellesstart Senior, 10.01.2016";"M Senior";"47:17.4";"1:02.1";"2016-01-10T09:47:17.4000000";"";""
"7";"29";"Vegard Bjørn";"Gjermundshaug";"M";"NOR";"Alvdal IL";"NC Fellesstart Senior, 10.01.2016";"M Senior";"47:25.0";"1:09.7";"2016-01-10T09:47:25.0000000";"";""
